CookerStat, GenerateAssetRegistry=0.075791, Initialize=0.387255, RunGuid=RunIDEEA7E9E7424B620829781AA629D607B9
DDCTransactionId52889FD841F093EB54C5A6B1E49F8E86_2, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_E2F950034A19F2DA43AC93A421189BE6_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000000000000000100000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.04.19-14.56.52, Duration=483.793274, RunGuid=RunIDEEA7E9E7424B620829781AA629D607B9
DDCTransactionIdE7F030F842D9E9EA9DAAF6918BA76505_4, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_E2F950034A19F2DA43AC93A421189BE6___12847E089E19EFDF52E8CBB7E70342BE70C9C278, StartTime=2016.04.19-14.56.52, HierarchicalDDC=, DataSize=4194565, Duration=9.016625, RunGuid=RunIDEEA7E9E7424B620829781AA629D607B9
DDCTransactionId2D869A5F4772916042462C98A90C4625_5, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_E2F950034A19F2DA43AC93A421189BE6___E5FD3C09C610662ED51821609CA816C91D402CAB, StartTime=2016.04.19-14.56.52, HierarchicalDDC=, DataSize=1048837, Duration=98.016350, RunGuid=RunIDEEA7E9E7424B620829781AA629D607B9
DDCTransactionId8C923BF2454C9C1A1CCAFB8F4DF94117_3, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_E2F950034A19F2DA43AC93A421189BE6___B6FBF93DBB466DAF38281094A9875CBFB1D81127, StartTime=2016.04.19-14.56.52, HierarchicalDDC=, DataSize=262403, Duration=2.264716, RunGuid=RunIDEEA7E9E7424B620829781AA629D607B9
DDCTransactionId8C923BF2454C9C1A1CCAFB8F4DF94117_4, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_E2F950034A19F2DA43AC93A421189BE6___F8B5E47CB4AC3EE8E961F55036AADEEF0326EEF8, StartTime=2016.04.19-14.56.52, HierarchicalDDC=, DataSize=65795, Duration=113.119324, RunGuid=RunIDEEA7E9E7424B620829781AA629D607B9
DDCTransactionIdE7F030F842D9E9EA9DAAF6918BA76505_5, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_E2F950034A19F2DA43AC93A421189BE6___F8A0C5320A88A15C4769139C8A6D2609BF179E00, StartTime=2016.04.19-14.56.52, HierarchicalDDC=, DataSize=16643, Duration=1.143608, RunGuid=RunIDEEA7E9E7424B620829781AA629D607B9
DDCTransactionIdE7F030F842D9E9EA9DAAF6918BA76505_6, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_E2F950034A19F2DA43AC93A421189BE6___194608E76A1480A04EDD7EEA372427869A158F4B, StartTime=2016.04.19-14.56.52, HierarchicalDDC=, DataSize=7468, Duration=0.986494, RunGuid=RunIDEEA7E9E7424B620829781AA629D607B9
DDCTransactionId52889FD841F093EB54C5A6B1E49F8E86_3, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_4D70213649E1512D78FAE78AAD267BDD_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000100000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.04.19-14.56.53, Duration=3038.731201, RunGuid=RunIDEEA7E9E7424B620829781AA629D607B9
DDCTransactionIdE7F030F842D9E9EA9DAAF6918BA76505_7, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_4D70213649E1512D78FAE78AAD267__B16DC466A97E25419AA749600F8016DEB8D74D3E, StartTime=2016.04.19-14.56.56, HierarchicalDDC=, DataSize=2097417, Duration=6.542292, RunGuid=RunIDEEA7E9E7424B620829781AA629D607B9
DDCTransactionId2D869A5F4772916042462C98A90C4625_6, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_4D70213649E1512D78FAE78AAD267__F814A36855C5D6EB77F4BBE8E1ECBB74A856321A, StartTime=2016.04.19-14.56.56, HierarchicalDDC=, DataSize=524553, Duration=2.596702, RunGuid=RunIDEEA7E9E7424B620829781AA629D607B9
DDCTransactionId8C923BF2454C9C1A1CCAFB8F4DF94117_5, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_4D70213649E1512D78FAE78AAD267__CBFEC0F4008F93BACBA617BF9FEA4A8F405E27D5, StartTime=2016.04.19-14.56.56, HierarchicalDDC=, DataSize=131335, Duration=154.194870, RunGuid=RunIDEEA7E9E7424B620829781AA629D607B9
DDCTransactionId2D869A5F4772916042462C98A90C4625_7, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_4D70213649E1512D78FAE78AAD267__938AFC2272DECC19ABCCC8DDA8AA3DB9DEF2486A, StartTime=2016.04.19-14.56.56, HierarchicalDDC=, DataSize=33031, Duration=1.925223, RunGuid=RunIDEEA7E9E7424B620829781AA629D607B9
DDCTransactionId2D869A5F4772916042462C98A90C4625_8, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_4D70213649E1512D78FAE78AAD267__66935FEC3AD8B1D793617F9EF084DD8752421D74, StartTime=2016.04.19-14.56.56, HierarchicalDDC=, DataSize=8455, Duration=127.180138, RunGuid=RunIDEEA7E9E7424B620829781AA629D607B9
DDCTransactionIdE7F030F842D9E9EA9DAAF6918BA76505_8, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_4D70213649E1512D78FAE78AAD267__0F2901CDD1190B0E4BC921BB9922C9ABC124F173, StartTime=2016.04.19-14.56.56, HierarchicalDDC=, DataSize=4749, Duration=1.141634, RunGuid=RunIDEEA7E9E7424B620829781AA629D607B9
