CookerStat, GenerateAssetRegistry=0.024080, Initialize=0.101060, RunGuid=RunID184F8C9E4D485C943D6030BCB3E20F22
DDCTransactionIdC80E5E9141CD24D9A784028F55D42357_5, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_B4C2BE374BF60D2D176BDA924C2CDCD8__1_0_13123_0, StartTime=2016.04.20-12.59.48, HierarchicalDDC=, DataSize=801, Duration=0.937149, RunGuid=RunID184F8C9E4D485C943D6030BCB3E20F22
DDCTransactionId21112CA94E495771011B21B731272010_5, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_C8ED21E04842E55F68C5BEACD87490FE__1_0_13123_0, StartTime=2016.04.20-12.59.48, HierarchicalDDC=, DataSize=575, Duration=1.205586, RunGuid=RunID184F8C9E4D485C943D6030BCB3E20F22
DDCTransactionIdE6CDC3A942B25623D87F6CA8597B6A5E_6, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_1A65704842FD3832F71FB38D2EF3A279__1_0_13123_0, StartTime=2016.04.20-12.59.48, HierarchicalDDC=, DataSize=1719, Duration=0.758328, RunGuid=RunID184F8C9E4D485C943D6030BCB3E20F22
DDCTransactionIdC80E5E9141CD24D9A784028F55D42357_6, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_14A2664F41D4A74FAB944E9BE06D6E9C__1_0_13123_0, StartTime=2016.04.20-12.59.48, HierarchicalDDC=, DataSize=385, Duration=1.029916, RunGuid=RunID184F8C9E4D485C943D6030BCB3E20F22
DDCTransactionId21112CA94E495771011B21B731272010_6, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_7927C56D42470893A4443DA0A8D95F7C__1_0_13123_0, StartTime=2016.04.20-12.59.48, HierarchicalDDC=, DataSize=649, Duration=0.881094, RunGuid=RunID184F8C9E4D485C943D6030BCB3E20F22
DDCTransactionIdE6CDC3A942B25623D87F6CA8597B6A5E_7, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_BA66DE444F012FBC93B4508ED47ED0ED__1_0_13123_0, StartTime=2016.04.20-12.59.48, HierarchicalDDC=, DataSize=3549, Duration=0.997547, RunGuid=RunID184F8C9E4D485C943D6030BCB3E20F22
DDCTransactionIdC80E5E9141CD24D9A784028F55D42357_7, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_9548E6EE4F3BDC0DCE1109A07DF73C28__1_0_13123_0, StartTime=2016.04.20-12.59.48, HierarchicalDDC=, DataSize=423, Duration=1.618106, RunGuid=RunID184F8C9E4D485C943D6030BCB3E20F22
DDCTransactionId21112CA94E495771011B21B731272010_7, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_3B9D51B947F64E88878624A7D78D45EB__1_0_13123_0, StartTime=2016.04.20-12.59.48, HierarchicalDDC=, DataSize=1331, Duration=1.022026, RunGuid=RunID184F8C9E4D485C943D6030BCB3E20F22
DDCTransactionIdE6CDC3A942B25623D87F6CA8597B6A5E_8, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_EAA3FF6B43D916576B131EBBBD7D2D7B__1_0_13123_0, StartTime=2016.04.20-12.59.48, HierarchicalDDC=, DataSize=347, Duration=0.851095, RunGuid=RunID184F8C9E4D485C943D6030BCB3E20F22
DDCTransactionId21112CA94E495771011B21B731272010_8, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_E194FEF648D26C3753F014B4C58A6FBE__1_0_13123_0, StartTime=2016.04.20-12.59.48, HierarchicalDDC=, DataSize=2847, Duration=0.924915, RunGuid=RunID184F8C9E4D485C943D6030BCB3E20F22
DDCTransactionIdC80E5E9141CD24D9A784028F55D42357_8, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_C4EEF94A4999F51CD19FDB8A6880F75B__1_0_13123_0, StartTime=2016.04.20-12.59.48, HierarchicalDDC=, DataSize=2683, Duration=0.817541, RunGuid=RunID184F8C9E4D485C943D6030BCB3E20F22
DDCTransactionIdE6CDC3A942B25623D87F6CA8597B6A5E_9, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_E840EAA14C7A54AA868178A9A6A3E119__1_0_13123_0, StartTime=2016.04.20-12.59.48, HierarchicalDDC=, DataSize=3815, Duration=0.932414, RunGuid=RunID184F8C9E4D485C943D6030BCB3E20F22
DDCTransactionId21112CA94E495771011B21B731272010_9, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_4BC4E3034CEFCBFD147E7F9ADF42F5C5__1_0_13123_0, StartTime=2016.04.20-12.59.48, HierarchicalDDC=, DataSize=347, Duration=0.882674, RunGuid=RunID184F8C9E4D485C943D6030BCB3E20F22
DDCTransactionIdE6CDC3A942B25623D87F6CA8597B6A5E_10, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_DA844C8448E2B740C2CB68B3156F2E86__1_0_13123_0, StartTime=2016.04.20-13.00.02, HierarchicalDDC=, DataSize=458, Duration=1.650870, RunGuid=RunID184F8C9E4D485C943D6030BCB3E20F22
DDCTransactionId21112CA94E495771011B21B731272010_10, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_8A26AA1C4111021DCE7C3BA49C7F789F__1_0_13123_0, StartTime=2016.04.20-13.00.02, HierarchicalDDC=, DataSize=347, Duration=0.969127, RunGuid=RunID184F8C9E4D485C943D6030BCB3E20F22
DDCTransactionIdC80E5E9141CD24D9A784028F55D42357_9, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_9AAFE485409F02E4AE581D82AC0EBF9B__1_0_13123_0, StartTime=2016.04.20-13.00.02, HierarchicalDDC=, DataSize=347, Duration=0.969913, RunGuid=RunID184F8C9E4D485C943D6030BCB3E20F22
DDCTransactionIdE6CDC3A942B25623D87F6CA8597B6A5E_11, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_4909F60D4549416179B4759A96BDF9C5__1_0_13123_0, StartTime=2016.04.20-13.00.02, HierarchicalDDC=, DataSize=347, Duration=1.238745, RunGuid=RunID184F8C9E4D485C943D6030BCB3E20F22
DDCTransactionId21112CA94E495771011B21B731272010_11, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_299B90FE4BE65FA3C03BECAB737DF5D7__1_0_13123_0, StartTime=2016.04.20-13.00.02, HierarchicalDDC=, DataSize=347, Duration=1.165714, RunGuid=RunID184F8C9E4D485C943D6030BCB3E20F22
DDCTransactionIdC80E5E9141CD24D9A784028F55D42357_10, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_8F9DDAC14050C3F726EF13959873398A__1_0_13123_0, StartTime=2016.04.20-13.00.02, HierarchicalDDC=, DataSize=347, Duration=1.225717, RunGuid=RunID184F8C9E4D485C943D6030BCB3E20F22
DDCTransactionIdE6CDC3A942B25623D87F6CA8597B6A5E_12, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_747277D548C4F210522281848D19BAD5__1_0_13123_0, StartTime=2016.04.20-13.00.02, HierarchicalDDC=, DataSize=347, Duration=1.025971, RunGuid=RunID184F8C9E4D485C943D6030BCB3E20F22
DDCTransactionId21112CA94E495771011B21B731272010_12, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_BDC5970E4904983DCBFB0DB8D6F98F1A__1_0_13123_0, StartTime=2016.04.20-13.00.02, HierarchicalDDC=, DataSize=347, Duration=1.157817, RunGuid=RunID184F8C9E4D485C943D6030BCB3E20F22
DDCTransactionIdC80E5E9141CD24D9A784028F55D42357_11, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_1BCA94954C63923ECCC614B14F8AC858__1_0_13123_0, StartTime=2016.04.20-13.00.02, HierarchicalDDC=, DataSize=347, Duration=1.219403, RunGuid=RunID184F8C9E4D485C943D6030BCB3E20F22
