CookerStat, GenerateAssetRegistry=0.021711, Initialize=0.105005, RunGuid=RunID1620ABEE4C321210379E118E07B8E8B6
DDCTransactionIdFB88243A4B9B48F3C76106BD338C9835_5, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_4F02D1D541CC48B5D06AB8A8DCB35EF2__1_0_13123_0, StartTime=2016.04.24-00.19.09, HierarchicalDDC=, DataSize=697, Duration=0.742141, RunGuid=RunID1620ABEE4C321210379E118E07B8E8B6
DDCTransactionIdD9469F70460684F3E8314397F803DF9E_6, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_759E3F88448404A4E2159A8AADB57272__1_0_13123_0, StartTime=2016.04.24-00.19.09, HierarchicalDDC=, DataSize=513, Duration=1.539156, RunGuid=RunID1620ABEE4C321210379E118E07B8E8B6
DDCTransactionId62BCC6B84B7728D2B0CD3A873DC8B19A_5, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_E5EDF8D048AE186B0E71368C9C4848AF__1_0_13123_0, StartTime=2016.04.24-00.19.09, HierarchicalDDC=, DataSize=513, Duration=1.596000, RunGuid=RunID1620ABEE4C321210379E118E07B8E8B6
DDCTransactionIdFB88243A4B9B48F3C76106BD338C9835_6, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_2CF8D432447029DC024214BD8B05BA90__1_0_13123_0, StartTime=2016.04.24-00.19.09, HierarchicalDDC=, DataSize=423, Duration=1.095053, RunGuid=RunID1620ABEE4C321210379E118E07B8E8B6
DDCTransactionIdFB88243A4B9B48F3C76106BD338C9835_7, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_EB55D3E94209E73F629ED4AD7F097581__1_0_13123_0, StartTime=2016.04.24-00.19.09, HierarchicalDDC=, DataSize=513, Duration=1.292430, RunGuid=RunID1620ABEE4C321210379E118E07B8E8B6
DDCTransactionIdD9469F70460684F3E8314397F803DF9E_7, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_C4F66E7B415B2B07D82F8FBA4307305A__1_0_13123_0, StartTime=2016.04.24-00.19.09, HierarchicalDDC=, DataSize=423, Duration=1.057159, RunGuid=RunID1620ABEE4C321210379E118E07B8E8B6
DDCTransactionId62BCC6B84B7728D2B0CD3A873DC8B19A_6, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_C5FF7CE047A45B7242759D85596D844A__1_0_13123_0, StartTime=2016.04.24-00.19.09, HierarchicalDDC=, DataSize=347, Duration=1.043338, RunGuid=RunID1620ABEE4C321210379E118E07B8E8B6
DDCTransactionIdD9469F70460684F3E8314397F803DF9E_8, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_77C0536C4E7E88A2DE398D890AD32032__1_0_13123_0, StartTime=2016.04.24-00.19.09, HierarchicalDDC=, DataSize=385, Duration=1.250193, RunGuid=RunID1620ABEE4C321210379E118E07B8E8B6
DDCTransactionId62BCC6B84B7728D2B0CD3A873DC8B19A_7, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_EBC987844842E9D02C32C798735F86B2__1_0_13123_0, StartTime=2016.04.24-00.19.09, HierarchicalDDC=, DataSize=385, Duration=1.136504, RunGuid=RunID1620ABEE4C321210379E118E07B8E8B6
DDCTransactionIdFB88243A4B9B48F3C76106BD338C9835_8, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_7970E144497F260D1301A5A5C6570ECF__1_0_13123_0, StartTime=2016.04.24-00.19.09, HierarchicalDDC=, DataSize=385, Duration=1.163345, RunGuid=RunID1620ABEE4C321210379E118E07B8E8B6
DDCTransactionIdD9469F70460684F3E8314397F803DF9E_9, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_DD68D3764FB6FBC13D5296A979E7A85C__1_0_13123_0, StartTime=2016.04.24-00.19.09, HierarchicalDDC=, DataSize=347, Duration=0.763852, RunGuid=RunID1620ABEE4C321210379E118E07B8E8B6
DDCTransactionId62BCC6B84B7728D2B0CD3A873DC8B19A_8, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_840D149E41822D46A2CFE8ABFA0264D6__1_0_13123_0, StartTime=2016.04.24-00.19.09, HierarchicalDDC=, DataSize=404, Duration=0.969917, RunGuid=RunID1620ABEE4C321210379E118E07B8E8B6
