CookerStat, GenerateAssetRegistry=0.019345, Initialize=0.100665, RunGuid=RunID6D51CB5F436000C8A40ABCB06F8F9B67
DDCTransactionIdFB47596442753593B7D9D9B13B48CBFE_5, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_00E425B541F36481414450B41BDFD757__1_0_13123_0, StartTime=2016.04.19-16.06.39, HierarchicalDDC=, DataSize=1974, Duration=1.132950, RunGuid=RunID6D51CB5F436000C8A40ABCB06F8F9B67
DDCTransactionId12872A4B40AA3D9AF111C98BBAA18F46_5, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_C36832114AE61565198E059257729C82__1_0_13123_0, StartTime=2016.04.19-16.06.39, HierarchicalDDC=, DataSize=1217, Duration=1.004655, RunGuid=RunID6D51CB5F436000C8A40ABCB06F8F9B67
DDCTransactionId212FD398467428B6E2E89FA6FCAA3164_6, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_186AC40847A74B45F74F7FBED9780235__1_0_13123_0, StartTime=2016.04.19-16.06.39, HierarchicalDDC=, DataSize=1343, Duration=1.273878, RunGuid=RunID6D51CB5F436000C8A40ABCB06F8F9B67
DDCTransactionIdFB47596442753593B7D9D9B13B48CBFE_6, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_2797141E47C0660282591090D9BA6DC6__1_0_13123_0, StartTime=2016.04.19-16.06.39, HierarchicalDDC=, DataSize=2180, Duration=1.110449, RunGuid=RunID6D51CB5F436000C8A40ABCB06F8F9B67
DDCTransactionId12872A4B40AA3D9AF111C98BBAA18F46_6, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_93C74B544D2C9B81C83CAD86B803CF6E__1_0_13123_0, StartTime=2016.04.19-16.06.39, HierarchicalDDC=, DataSize=2083, Duration=1.283351, RunGuid=RunID6D51CB5F436000C8A40ABCB06F8F9B67
DDCTransactionId212FD398467428B6E2E89FA6FCAA3164_7, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_EAEEA2854987B40378DEB49DF1483892__1_0_13123_0, StartTime=2016.04.19-16.06.39, HierarchicalDDC=, DataSize=725, Duration=1.409281, RunGuid=RunID6D51CB5F436000C8A40ABCB06F8F9B67
DDCTransactionIdFB47596442753593B7D9D9B13B48CBFE_7, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_8D1DD2CD4F8E2341277C03B9F2E5B80A__1_0_13123_0, StartTime=2016.04.19-16.06.39, HierarchicalDDC=, DataSize=915, Duration=1.364280, RunGuid=RunID6D51CB5F436000C8A40ABCB06F8F9B67
DDCTransactionId12872A4B40AA3D9AF111C98BBAA18F46_7, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_436A1E33495EEA67E171D989FF73A922__1_0_13123_0, StartTime=2016.04.19-16.06.39, HierarchicalDDC=, DataSize=1938, Duration=1.406513, RunGuid=RunID6D51CB5F436000C8A40ABCB06F8F9B67
DDCTransactionId212FD398467428B6E2E89FA6FCAA3164_8, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_5976CCCD4914143F557EAD8519566489__1_0_13123_0, StartTime=2016.04.19-16.06.39, HierarchicalDDC=, DataSize=977, Duration=1.204401, RunGuid=RunID6D51CB5F436000C8A40ABCB06F8F9B67
DDCTransactionIdFB47596442753593B7D9D9B13B48CBFE_8, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_2AD20BCE408B7641A7FE63B8E157E9E5__1_0_13123_0, StartTime=2016.04.19-16.06.39, HierarchicalDDC=, DataSize=1550, Duration=1.162160, RunGuid=RunID6D51CB5F436000C8A40ABCB06F8F9B67
